session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
69,-1,11610.0,8087.0,3523.0,1.1613748601917486,0.9909916681926333,0.855079801440798,0.9858239731774845,0.3062950587509506,0.983130571312607
70,-2,8375.75,6398.0,1977.75,0.9161844818548448,0.9789107341890896,0.6791078884250789,0.9853887779339285,0.23707659342976595,0.938489057023079
71,-1,9900.5,7341.0,2559.5,0.9814416277199163,0.9934527285998452,0.7380124158301241,0.995147112282164,0.2434292118897921,0.967178970682538
72,-2,10651.0,7391.0,3260.0,1.0278636249216362,0.9951800245809503,0.7404087221520872,0.9956584439255196,0.28745490276954905,0.9497458476144028
73,-1,9649.75,7385.0,2264.75,0.9133095831775958,0.9692127515372416,0.7273677478336775,0.9905385297610516,0.18594183534391837,0.7696106295654386
74,-2,10195.0,7707.0,2488.0,1.0563924151119242,0.9904928755189517,0.7946992571789926,0.9973315594670068,0.2616931579329316,0.9177351163547388
75,-1,10661.0,7075.0,3586.0,0.9822785259322853,0.9770675502386695,0.6995451558414516,0.986419481940414,0.2827333700908337,0.9102350901383781
76,-2,11288.5,7825.0,3463.5,1.1574851792528518,0.9966748847871137,0.7749159315751594,0.998690694353072,0.38256924767769246,0.9685114928243512
77,-1,9504.5,7116.0,2388.5,0.9186845144603452,0.9846877186952563,0.7177718690057187,0.9973078162805609,0.20091264545462645,0.7871691708487732
78,-2,9339.0,6935.0,2404.0,0.9132247276082472,0.9951689083094623,0.720644803596448,0.9984528999583455,0.19257992401179924,0.9361359175847287
79,-1,8676.75,7044.0,1632.75,0.8419773354362734,0.9794010520860165,0.6852751435087514,0.9959096515166291,0.1567021919275219,0.6079347520402075
80,-2,9846.75,7771.0,2075.75,0.9783889745708897,0.9940225720256254,0.7872275156522751,0.9983809187761127,0.19116145891861458,0.9302170316048877
81,-1,4497.5,6531.0,-2033.5,0.428094901321449,0.9208408995573719,0.6304445960444459,0.983542918854938,-0.20234969472299694,0.8311909862752639
82,-2,10502.0,7536.0,2966.0,1.0332777718867778,0.9986051807025741,0.7376744260107443,0.9977394794383422,0.2956033458760335,0.9872464417871044
83,-1,8465.0,7578.0,887.0,0.7621461040709611,0.966295910548411,0.7359946185639462,0.9961595405988102,0.026151485507014856,0.04977301982706709
84,-2,9990.75,7714.0,2276.75,0.9996761426197615,0.9951402836975566,0.7875426179254261,0.9966261397694532,0.21213352469433525,0.9419707919162463
85,-1,9788.0,7203.0,2585.0,0.9789569289320693,0.996943369336432,0.7372905339769054,0.9980408940126755,0.24166639495516395,0.9360469554360619
86,-2,11162.0,7473.0,3689.0,1.1859604644156045,0.9805616326378815,0.7583855193118552,0.9972098731167199,0.42757494510374944,0.8955110881691554
87,-1,8903.0,7172.0,1731.0,0.8743321087918211,0.9912053578575903,0.6960694453146945,0.9969658553909057,0.17826266347712663,0.8557293822537678
88,-2,9413.0,7366.0,2047.0,0.870677103395271,0.9472893494863016,0.7262963594189636,0.9961683529353256,0.14438074397630743,0.28191620059721323
89,-1,10301.5,7519.0,2782.5,0.9917432446074325,0.981407432275198,0.7385699727776998,0.9906558424925628,0.2531732718297327,0.9259591512927323
90,-2,9692.0,7481.0,2211.0,1.0060990555054905,0.9642377128388553,0.7678506813645068,0.9840853087953308,0.23824837414098374,0.8207570971166616
91,-1,10343.0,7054.0,3289.0,1.0185680263701802,0.9880586205029688,0.7329856600418566,0.9963991692236851,0.2855823663283237,0.8989636620769728
92,-2,9444.5,6958.0,2486.5,0.9635976777104768,0.9966020887268482,0.701729101065291,0.9945442365455041,0.26186857664518576,0.9614201999128752
93,-1,11404.25,7707.0,3697.25,1.1656152092771521,0.9969254707979662,0.7880506221925062,0.993932571182997,0.37756458708464585,0.982682230324165
94,-2,7162.0,7865.0,-703.0,0.8007102642511026,0.8450005563720746,0.7314734143027342,0.9912178910615712,0.0692368499483685,0.04748291399327495
95,-1,12180.0,7955.0,4225.0,1.2299490603654906,0.9916902927194778,0.7812890489288905,0.9925099199115414,0.4486600114366001,0.9350123283124014
96,-2,10612.5,7883.0,2729.5,1.056548205348982,0.9967245859206709,0.7983931397859314,0.99786316922015,0.2581550655630507,0.9601764460424234
97,-1,8767.75,6571.0,2196.75,0.8654879913568799,0.9965137476350875,0.6426770095567701,0.9973550569861539,0.22281098180010983,0.9649592840452212
98,-2,7967.75,6809.0,1158.75,0.8389159182656591,0.9901138168710844,0.6940227864582279,0.9976365674523378,0.14489313180743132,0.7315951891572717
99,-1,10435.0,6826.0,3609.0,1.071576400516264,0.9975077918622881,0.711427909132279,0.9977793576302808,0.3601484913839849,0.9841439299036459
